step,primary_busy,successful_packets,dropped_packets,avg_queue_length,total_iot_energy,total_uav_energy,jamming_failures,collision_count,duplicate_target_count,reward_total,reward_throughput,reward_avoidance,penalty_drop,penalty_delay,penalty_energy,penalty_jamming,penalty_collision,penalty_unfairness,episode_id,policy_name,scenario_name
0.0,0.0,0.0,0.0,4.8,27.791489811750647,2000.0,0.0,0.0,0.0,-0.48,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0,greedy_nearest,scenario_3_mobile_jammer
1.0,0.0,0.0,4.0,9.0,25.791489811750647,1999.9,2.0,0.0,0.0,-10.901,0.0,0.0,8.0,0.9,0.001,2.0,0.0,0.0,0,greedy_nearest,scenario_3_mobile_jammer
2.0,1.0,0.0,39.0,10.0,25.791489811750647,1999.9,0.0,0.0,0.0,-79.0,0.0,0.0,78.0,1.0,0.0,0.0,0.0,0.0,0,greedy_nearest,scenario_3_mobile_jammer
3.0,1.0,0.0,47.0,10.0,25.791489811750647,1999.8000000000002,2.0,0.0,0.0,-97.001,0.0,0.0,94.0,1.0,0.001,2.0,0.0,0.0,0,greedy_nearest,scenario_3_mobile_jammer
4.0,0.0,0.0,41.0,10.0,25.791489811750647,1999.8000000000002,0.0,0.0,0.0,-83.0,0.0,0.0,82.0,1.0,0.0,0.0,0.0,0.0,0,greedy_nearest,scenario_3_mobile_jammer
5.0,1.0,0.0,55.0,10.0,25.791489811750647,1999.8000000000002,0.0,0.0,0.0,-111.0,0.0,0.0,110.0,1.0,0.0,0.0,0.0,0.0,0,greedy_nearest,scenario_3_mobile_jammer
6.0,1.0,0.0,49.0,10.0,25.791489811750647,1999.7000000000003,2.0,0.0,0.0,-101.001,0.0,0.0,98.0,1.0,0.001,2.0,0.0,0.0,0,greedy_nearest,scenario_3_mobile_jammer
7.0,0.0,0.0,39.0,10.0,25.791489811750647,1999.7000000000003,0.0,0.0,0.0,-79.0,0.0,0.0,78.0,1.0,0.0,0.0,0.0,0.0,0,greedy_nearest,scenario_3_mobile_jammer
8.0,0.0,0.0,50.0,10.0,24.791489811750647,1999.6500000000003,1.0,0.0,0.0,-102.0005,0.0,0.0,100.0,1.0,0.0005,1.0,0.0,0.0,0,greedy_nearest,scenario_3_mobile_jammer
9.0,1.0,0.0,46.0,10.0,24.791489811750647,1999.6500000000003,0.0,0.0,0.0,-93.0,0.0,0.0,92.0,1.0,0.0,0.0,0.0,0.0,0,greedy_nearest,scenario_3_mobile_jammer
10.0,0.0,0.0,50.0,10.0,24.791489811750647,1999.6500000000003,0.0,0.0,0.0,-101.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0,greedy_nearest,scenario_3_mobile_jammer
11.0,0.0,0.0,52.0,10.0,23.791489811750647,1999.6000000000004,1.0,0.0,0.0,-106.0005,0.0,0.0,104.0,1.0,0.0005,1.0,0.0,0.0,0,greedy_nearest,scenario_3_mobile_jammer
12.0,0.0,0.0,47.0,10.0,23.791489811750647,1999.6000000000004,0.0,0.0,0.0,-95.0,0.0,0.0,94.0,1.0,0.0,0.0,0.0,0.0,0,greedy_nearest,scenario_3_mobile_jammer
13.0,1.0,0.0,48.0,10.0,23.791489811750647,1999.6000000000004,0.0,0.0,0.0,-97.0,0.0,0.0,96.0,1.0,0.0,0.0,0.0,0.0,0,greedy_nearest,scenario_3_mobile_jammer
14.0,1.0,0.0,50.0,10.0,23.791489811750647,1999.5000000000005,2.0,0.0,0.0,-103.001,0.0,0.0,100.0,1.0,0.001,2.0,0.0,0.0,0,greedy_nearest,scenario_3_mobile_jammer
15.0,1.0,0.0,49.0,10.0,23.791489811750647,1999.4000000000005,2.0,0.0,0.0,-101.001,0.0,0.0,98.0,1.0,0.001,2.0,0.0,0.0,0,greedy_nearest,scenario_3_mobile_jammer
